Source,Target
Afghanistan,Ukraine
Afghanistan,Ural
Afghanistan,China
Afghanistan,India
Afghanistan,Middle East
Alaska,Alberta
Alaska,Northwest  Territory
Alaska,Kamchatka
Alberta,Northwest  Territory
Alberta,Ontario
Alberta,Western United States
Argentina,Brazil
Argentina,Peru
Brazil,North Africa
Brazil,Venezuela
Brazil,Peru
Central America,Western United States
Central America,Eastern United States
Central America,Venezuela
China,Ural
China,Siberia
China,Mongolia
China,Siam
China,India
Congo,North Africa
Congo,East Africa
Congo,South Africa
East Africa,Madagascar
East Africa,South Africa
East Africa,Middle East
East Africa,North Africa
East Africa,Egypt
Eastern Australia,Western Australia
Eastern Australia,New Guinea
Eastern United States,Ontario
Eastern United States,Quebec
Eastern United States,Western United States
Egypt,North Africa
Egypt,Middle East
Egypt,Southern Europe
Great Britain,Iceland
Great Britain,Western Europe
Great Britain,Northern Europe
Great Britain,Scandinavia
Greenland,Northwest  Territory
Greenland,Ontario
Greenland,Quebec
Greenland,Iceland
Iceland,Northern Europe
Iceland,Scandinavia
India,Middle East
India,Siam
Indonesia,New Guinea
Indonesia,Western Australia
Indonesia,Siam
Irkutsk,Siberia
Irkutsk,Yakutsk
Irkutsk,Kamchatka
Irkutsk,Mongolia
Japan,Mongolia
Japan,Kamchatka
Kamchatka,Yakutsk
Kamchatka,Mongolia
Madagascar,South Africa
Middle East,Southern Europe
Middle East,Ukraine
Mongolia,Siberia
New Guinea,Western Australia
North Africa,Western Europe
North Africa,Southern Europe
Northern Europe,Scandinavia
Northern Europe,Ukraine
Northern Europe,Southern Europe
Northwest Territory,Ontario
Ontario,Quebec
Peru,Venezuela
Scandinavia,Ukraine
Siberia,Ural
Siberia,Yakutsk
Southern Europe,Western Europe
Ukraine,Ural